/hfp/v1/journey/upcoming/tram/0040/00102/1001 4/2/Eira/05:05/1121437/4/60;24/19/96/52 {"VP":{"desi":"1","dir":"2","oper":40,"veh":102,"tst":"2018-09-03T02:00:51Z","tsi":1535940051,"spd":8.63,"hdg":167,"lat":60.195295,"long":24.962976,"acc":0.53,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":678,"line":28,"start":"05:05"}}

/hfp/v1/journey/upcoming/tram/0040/00102/1001 4/2/Eira/05:05/1121437/3/60;24/19/96/53 {"VP":{"desi":"1","dir":"2","oper":40,"veh":102,"tst":"2018-09-03T02:00:52Z","tsi":1535940052,"spd":7.32,"hdg":167,"lat":60.195230,"long":24.963004,"acc":-1.31,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":678,"line":28,"start":"05:05"}}

/hfp/v1/journey/upcoming/tram/0040/00102/1001 4/2/Eira/05:05/1121437/4/60;24/19/96/53 {"VP":{"desi":"1","dir":"2","oper":40,"veh":102,"tst":"2018-09-03T02:00:53Z","tsi":1535940053,"spd":7.06,"hdg":166,"lat":60.195169,"long":24.963037,"acc":-0.26,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":678,"line":28,"start":"05:05"}}

/hfp/v1/journey/upcoming/tram/0040/00102/1001 4/2/Eira/05:05/1121437/5/60;24/19/96/53 {"VP":{"desi":"1","dir":"2","oper":40,"veh":102,"tst":"2018-09-03T02:00:54Z","tsi":1535940054,"spd":5.78,"hdg":162,"lat":60.195120,"long":24.963073,"acc":-1.28,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":678,"line":28,"start":"05:05"}}

/hfp/v1/journey/upcoming/tram/0040/00102/1001 4/2/Eira/05:05/1121437/4/60;24/19/96/53 {"VP":{"desi":"1","dir":"2","oper":40,"veh":102,"tst":"2018-09-03T02:00:55Z","tsi":1535940055,"spd":6.73,"hdg":158,"lat":60.195065,"long":24.963122,"acc":0.95,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":678,"line":28,"start":"05:05"}}

/hfp/v1/journey/upcoming/tram/0040/00102/1001 4/2/Eira/05:05/1121437/5/60;24/19/96/53 {"VP":{"desi":"1","dir":"2","oper":40,"veh":102,"tst":"2018-09-03T02:00:56Z","tsi":1535940056,"spd":5.93,"hdg":157,"lat":60.195015,"long":24.963161,"acc":-0.80,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":678,"line":28,"start":"05:05"}}

/hfp/v1/journey/upcoming/tram/0040/00102/1001 4/2/Eira/05:05/1121437/3/60;24/19/96/43 {"VP":{"desi":"1","dir":"2","oper":40,"veh":102,"tst":"2018-09-03T02:00:57Z","tsi":1535940057,"spd":5.24,"hdg":157,"lat":60.194974,"long":24.963207,"acc":-0.69,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":678,"line":28,"start":"05:05"}}

/hfp/v1/journey/upcoming/tram/0040/00102/1001 4/2/Eira/05:05/1121437/5/60;24/19/96/43 {"VP":{"desi":"1","dir":"2","oper":40,"veh":102,"tst":"2018-09-03T02:00:58Z","tsi":1535940058,"spd":4.04,"hdg":156,"lat":60.194943,"long":24.963245,"acc":-1.20,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":678,"line":28,"start":"05:05"}}

/hfp/v1/journey/upcoming/tram/0040/00102/1001 4/2/Eira/05:05/1121437/5/60;24/19/96/43 {"VP":{"desi":"1","dir":"2","oper":40,"veh":102,"tst":"2018-09-03T02:00:59Z","tsi":1535940059,"spd":3.87,"hdg":156,"lat":60.194912,"long":24.963277,"acc":-0.17,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":678,"line":28,"start":"05:05"}}

/hfp/v1/journey/upcoming/tram/0040/00102/1001 4/2/Eira/05:05/1121437/4/60;24/19/96/43 {"VP":{"desi":"1","dir":"2","oper":40,"veh":102,"tst":"2018-09-03T02:01:00Z","tsi":1535940060,"spd":1.97,"hdg":157,"lat":60.194897,"long":24.963294,"acc":-1.90,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":678,"line":28,"start":"05:05"}}

/hfp/v1/journey/upcoming/tram/0040/00102/1001 4/2/Eira/05:05/1121437/4/60;24/19/96/43 {"VP":{"desi":"1","dir":"2","oper":40,"veh":102,"tst":"2018-09-03T02:01:01Z","tsi":1535940061,"spd":4.48,"hdg":158,"lat":60.194860,"long":24.963325,"acc":2.51,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":678,"line":28,"start":"05:05"}}

/hfp/v1/journey/upcoming/tram/0040/00102/1001 4/2/Eira/05:05/1121437/5/60;24/19/96/43 {"VP":{"desi":"1","dir":"2","oper":40,"veh":102,"tst":"2018-09-03T02:01:02Z","tsi":1535940062,"spd":2.55,"hdg":155,"lat":60.194844,"long":24.963359,"acc":-1.93,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":678,"line":28,"start":"05:05"}}

/hfp/v1/journey/upcoming/tram/0040/00102/1001 4/2/Eira/05:05/1121437/5/60;24/19/96/43 {"VP":{"desi":"1","dir":"2","oper":40,"veh":102,"tst":"2018-09-03T02:01:03Z","tsi":1535940063,"spd":2.47,"hdg":156,"lat":60.194823,"long":24.963377,"acc":-0.08,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":678,"line":28,"start":"05:05"}}

/hfp/v1/journey/upcoming/tram/0040/00102/1001 4/2/Eira/05:05/1121437/5/60;24/19/96/43 {"VP":{"desi":"1","dir":"2","oper":40,"veh":102,"tst":"2018-09-03T02:01:04Z","tsi":1535940064,"spd":1.97,"hdg":155,"lat":60.194809,"long":24.963398,"acc":-0.51,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":678,"line":28,"start":"05:05"}}

